0,3442.8,7065.8,1858.8,1036.6,1843.1,5638.8,10710,10282,243.56,7283.6,1891.1,5783.4,9734.7,4706.1,4666,9357.9,11145,6529.2,7156.6,328.45,3175.5,8792.8,1590.6,1091.3,12333,12503,8272,1113.4,5778.6,10298,4705.9,8927,2008.2,7054.9,4039.9,8465.3,4034.4,5274.7,9372.1,12885,10953,5089,9760.7,3165.2,7110.7,1960,738.49,1884.4,4033.4,2152.6,5687.3,4656.7,4897.7,1572.1,5553.6,3839.1,4153,3256.6,5484.8,4658.3,4117.8,584.9,4891.7,1165.4,1921.3,2075.4,8457,2771.6,2079.3,5900.4,1442.1,9464.9,7562,2212.7,10689,7141.1,13432,1897.1,1150.1,11696,8638.8,6732.3,11064,2670.5,5419,4686.9,1065.8,1278.6,3536.7,5745.8,11365,7299.9,1248.7,3010.1,11121,14063,5385.7,2196.4,9784
3442.8,0,8092.2,1433.2,2793.5,3238.5,1740.3,7067,5627.2,4109.8,9936.4,2697.3,7429.5,5316.9,8295.2,7622.1,12012,15490,9294,10569,3726.3,3552.5,10085,1921.7,4794.5,12660,15298,13180,2396.5,7256.5,12636,1381,3754.9,4031.3,11770,766.37,9831.3,5854.1,8282.1,4284,14182,17498,1175.9,6358.7,4972.1,9382.7,3949.7,3371.1,4491.7,1057.8,2859.2,6648.2,2398.1,2020.2,3216.1,7428.3,676.32,845.99,6478.3,8242,965.12,6880.6,2581,8054.7,4844.3,1691.4,3297.2,5172.1,1751,4653.7,8967,2495.3,5264.4,8571,1598.8,15415,10215,12753,5306.4,4242.7,15409,12234,9849.9,14920,2005.8,10045,815.29,4378.5,3429.5,210.06,6561.1,15199,10209,4112.5,5299.6,7965.7,16556,8201.2,3956.6,7080
7065.8,8092.2,0,9880.5,7600.2,7876.4,10079,13741,13241,7673.8,1577.8,7096.2,1023.6,12248,1995,2606.8,1783.6,6843.3,1368.6,1177.5,8079.2,7089.2,886.46,7744.8,5939.5,7796.5,6542.7,3108.5,9107.4,2316.4,5024.2,11571,12226,6032.6,1228.3,12401,108.71,3015.2,1704.4,13363,7657.4,7561.6,8434.9,17212,3787.8,558.83,6357.5,6659.1,5546,7899.9,9565,2180.4,12484,11474,6483.5,2284,10441,11696,3881.8,2333.1,8802.7,3385.5,8723.1,1051.9,5558.4,8835,6466.4,14170,7736.4,4794,749.47,7670.4,12556,359.41,9212.9,8724.3,875.47,8704.2,5277.9,5248.4,7890.3,12979,817.45,7790.6,8294.8,461.42,10192,5007.4,6951,10693,2731.3,7501.2,1804.1,5138,3659.4,16318,13057,1459.6,6455.7,14107
1858.8,1433.2,9880.5,0,1523.8,1197.1,4042.8,9619.7,8307.1,2291.1,8528.3,2346.4,7493.7,6476.1,8223.2,8365.7,9300.7,13042,7052.2,6875.3,2039.9,3385.2,10216,352.11,2942.2,14751,15000,10394,1253.2,7455,11513,3187.4,6134,3632.4,8135.8,2306.4,8938,6768.9,9460.7,7149.3,14831,13680,3456,8235.2,6096.4,7491.9,2620.9,2084.7,3454.2,2617.1,964.55,7054.1,4990.4,3164.4,1992.6,7942.4,1956.6,2272.7,4444.8,6771.1,2393,5965.2,1543.3,9079.4,3209.3,522.24,2873.6,7592.8,326.95,4007.8,8487.2,1275.8,6910.5,8513.1,765.2,13309,9374.7,11861,4750.2,3405.9,12072,10130,9250.9,16300,1221.1,8506.1,2225.7,3923.1,2483,2047.8,7211.4,14042,10340,3266.6,4691.3,7453.6,20110,7735.5,3318.5,7853.6
1036.6,2793.5,7600.2,1523.8,0,1759.4,4207.4,8983.6,6518.1,1355.6,8112.8,851.95,6554.5,7244.5,6139.9,4915.4,8866.5,14255,6623.9,7339.7,793.03,2029.8,9350.4,1251,1552.5,10558,13578,9845.8,983.3,5498.9,12778,3819.4,6448.3,1566.3,7299,2708,8003.2,5007.3,5186.2,5670.7,11843,13167,3735.4,8027.1,3462.7,6668.8,1445.6,608.56,1976.3,2673.1,1356.4,5757.5,5421.7,5224,878.33,5781.5,2976.1,3340.6,3699.9,5563.4,3081.9,4572.9,690.46,7667.1,1502.8,1127.7,1132.2,5960,2138.6,2365.7,5877.5,1360.6,6305.5,8020.5,996.13,13865,7051,13617,2800.5,2049,14295,10011,6964,11636,1663.5,7365.3,4274.6,1845.5,1513.6,2288.4,4807.8,11336,6549,1545.8,3516.3,10391,17526,5453.3,1526.4,7690.7
1843.1,3238.5,7876.4,1197.1,1759.4,0,5259,10762,8121.6,1467,9628.8,3084.2,8944.1,8122,7087.6,7138.9,9705,13540,6062.5,8468.9,1253.9,3374.4,9197.5,1014.4,2939.6,10908,15408,8979.7,486.61,6590.8,9322.2,5115.3,8450.5,3754.5,8930.7,4128,8862.2,5908.4,8324.5,9187.9,13110,14405,5124.3,8322.4,4637.8,8460,3248.3,1660.7,3406.3,4070.5,439,6977.1,4542.5,4736.3,2857.1,7272.6,3693.4,3601.2,4476.1,7718.1,3384.6,5151.2,1075.7,7043.5,2932.7,1741.3,3157.3,8726.2,1432.3,3346.7,7954.7,357.32,7806,10229,2262.9,14496,7907.7,13637,3629,2960.7,12850,7550.3,7854.3,12350,3205.8,8985.6,4008.8,2529.1,670.95,3156.7,6059.8,14405,9784.7,2803.2,5345.9,10225,15451,6013.9,3478.1,9228.4
5638.8,1740.3,10079,4042.8,4207.4,5259,0,4790.1,4283.1,5260.1,9614.7,3575.8,7916.3,3177.5,8725.6,6424.6,12568,18632,10101,10410,5116.7,3747.6,10219,3449.2,5201.6,18362,16567,13916,4538.2,8944.3,13314,1634.5,3358.9,3963.7,11568,1444.5,10657,7153.1,8359.2,3213.7,15514,12982,667.32,5339.4,5820.6,8351,4573.2,4598,5261.7,871.87,5255.8,7887.1,1137.8,1282.6,3387,8328.5,1438.5,1493,6643.6,8576,991.85,6759,4021.4,8188.3,5760.7,3220,4421,3999.8,3121.9,6261.7,9604,4844.1,4175.3,10299,2787.9,18953,8677.9,17859,7465.9,4751.5,19132,11797,10406,13864,2456.9,10424,1320.3,5768.9,5105,1760.4,6553.7,13132,9511.8,6014.4,5249.3,5513.7,22049,7608.6,3768.9,5020.1
10710,7067,13741,9619.7,8983.6,10762,4790.1,0,2904.8,10787,15607,7383.7,12318,2386.1,13489,10689,16059,21230,9818.1,14940,8537.6,8012.1,13588,9594.2,10537,17836,22513,12914,9942.8,13460,17673,5996.5,2762.2,9320.4,15568,5895.3,15884,12009,9485.9,1768.8,17701,19683,5085.5,2433.8,10091,14147,8147.2,9399.2,9288.8,6414.8,10359,9793.5,4438.3,5468.7,8838.8,13374,7295,6975.2,11631,11068,6131.2,11815,8770,12356,10513,6885.3,8371,1634.2,9437.6,10306,13236,11482,2852.8,14167,7890.6,21558,12717,18655,10695,10883,20044,19044,16302,22224,7603.6,13392,5973.5,12073,10862,5340.4,10608,20998,18082,11157,12511,786.73,26717,11463,7694.7,1702.3
10282,5627.2,13241,8307.1,6518.1,8121.6,4283.1,2904.8,0,8616.7,14840,7177,13463,2697.7,12130,11721,18050,17797,12351,14423,10069,8330.6,16267,6017.9,10213,24280,18626,19609,8025.3,11150,18846,3885,1695.5,8067.9,15636,4580,12599,14277,11420,1969.4,22372,21199,4289.9,739.16,8693.7,16005,8782.6,8976.6,9035,4795.4,7765.4,12257,3091.5,3298,8751.6,13296,5207.2,4903.8,9400.1,12678,5652.5,13325,7452,14478,8714.1,7101,7872.6,1964,5718.4,11716,16634,9401.1,349.1,13997,7767.3,19377,15924,22847,10612,11309,21709,16269,13662,24901,7816.1,14992,4404.3,10119,9303,5193,10936,21801,14531,9477,9471.2,3519.7,25276,15085,9286.6,945.33
243.56,4109.8,7673.8,2291.1,1355.6,1467,5260.1,10787,8616.7,0,8946,2250.2,5229.3,8397.3,5314,4986.2,8691.2,12844,6392,7673.1,437.91,3112.2,7751.1,1697.7,1457.8,12684,10734,7978.9,1069,5734.7,10714,5623,8058.3,2031.1,9313.7,4485.6,7023.5,4205.6,5689.3,9085.5,11063,11032,5000.4,8673.5,3665.2,6420.5,2260.1,940.02,1989.7,4194.6,1934.1,4223,6455.1,5831.6,1928.1,5697.2,5065.5,4260.8,3394.5,5090.2,3519.4,2859.2,748.37,6285.5,1138.8,1995.1,2074.9,8361.6,2688.1,2410.7,7617.7,1352.3,9445.5,7356.2,2211.1,9729.2,5563.2,13007,2427.5,1469.4,11447,8621.1,5397.3,14181,3007.1,7693.1,4061.5,1348.9,1032,3740.3,4370.6,14000,8321.9,1042.4,2826.2,8637.2,14156,5316.8,2354.8,9920.2
